MaNhanVien,Tuoi,GioiTinh,TinhTrangHonNhan,DiaDiemLamViec,LoaiHopDong,TrinhDoHocVan,LinhVucDaoTao,PhongBan,ViTriCongViec,CapBacCongViec,TanSuatCongTac,LamThemGio,ThuNhapHangThang_VND,PhanTramTangLuong,KhoangCachNha_Km,HaiLong_CongViec,HaiLong_MoiTruong,CanBangCongViec_CuocSong,MucDoGanKetCongViec,HaiLong_QuanHe,DanhGiaHieuSuat,SoLanDaoTao_Nam,SoCongTyDaLam,TongNamKinhNghiem,SoNamTaiCongTy,SoNam_ViTriHienTai,SoNam_TuLanThangChuc,SoNam_VoiQuanLyHienTai,NghiViec
NV20260001,31,Nữ,Độc thân,TP. Hồ Chí Minh,Toàn thời gian,Cao đẳng,Tài chính,Kinh doanh,Quản lý kinh doanh,3,Ít,Không,24500000,12,13,3,5,5,4,3,2,4,2,6,6,5,3,5,Không
NV20260002,28,Nam,Ly hôn,Đà Nẵng,Hợp đồng xác định thời hạn,Thạc sĩ,Khác,Chăm sóc khách hàng,Nhân viên chăm sóc khách hàng,1,Không công tác,Không,12700000,4,8,3,4,2,2,3,2,3,1,0,0,0,0,0,Không
NV20260003,39,Nữ,Đã kết hôn,Bình Dương,Toàn thời gian,Thạc sĩ,Tài chính,Kinh doanh,Trưởng nhóm kinh doanh,4,Ít,Có,27500000,12,7,2,2,4,3,2,3,1,2,13,10,8,7,8,Không
NV20260004,25,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Khác,Vận hành,Trưởng nhóm vận hành,2,Ít,Có,17100000,13,21,3,5,4,5,3,4,2,3,2,2,1,1,2,Không
NV20260005,33,Nữ,Độc thân,Bình Dương,Thử việc,Đại học,Khác,Công nghệ thông tin,Lập trình viên,3,Không công tác,Không,24400000,10,6,2,3,3,3,5,4,3,1,9,6,4,4,2,Có
NV20260006,25,Nữ,Độc thân,Hà Nội,Toàn thời gian,Thạc sĩ,Tài chính,Công nghệ thông tin,Lập trình viên,3,Không công tác,Không,20800000,3,13,4,2,3,4,3,3,4,3,4,4,2,3,2,Không
NV20260007,23,Nữ,Độc thân,Hải Phòng,Toàn thời gian,Cao đẳng,Công nghệ thông tin,Nghiên cứu và Phát triển,Kỹ sư R&D,2,Ít,Không,19600000,11,3,4,5,5,5,5,4,3,1,5,3,1,2,1,Không
NV20260008,32,Nam,Đã kết hôn,TP. Hồ Chí Minh,Toàn thời gian,Thạc sĩ,Công nghệ thông tin,Kinh doanh,Trưởng nhóm kinh doanh,1,Ít,Có,15700000,6,32,3,2,2,3,3,2,2,1,9,1,1,1,1,Có
NV20260009,31,Nam,Độc thân,Cần Thơ,Hợp đồng xác định thời hạn,Thạc sĩ,Công nghệ thông tin,Marketing,Trưởng nhóm marketing,3,Thường xuyên,Không,26200000,14,14,3,5,4,3,5,3,3,1,13,7,4,4,2,Có
NV20260010,35,Nam,Đã kết hôn,Hà Nội,Toàn thời gian,Đại học,Công nghệ thông tin,Marketing,Chuyên viên marketing,2,Không công tác,Không,17600000,3,14,3,2,4,1,4,2,2,1,9,2,2,1,2,Có
